"origin","destination","airline","flight_num","origin_iata_code","origin_name","origin_latitude","origin_longitude","destination_iata_code","destination_name","destination_latitude","destination_longitude"
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"TAM","MEX","4O","2151","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2151","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2151","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2151","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2151","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","TAM","4O","2152","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"TAM","MEX","4O","2153","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2153","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2153","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2154","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"TAM","MEX","4O","2155","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2155","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2155","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2155","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2155","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2157","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2157","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2157","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2157","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"TAM","MEX","4O","2157","TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","GDL","4O","2200","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"GDL","MEX","4O","2201","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2201","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2203","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","GDL","4O","2204","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2204","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2204","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2206","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"GDL","MEX","4O","2207","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","GDL","4O","2208","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2210","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2210","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2210","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2210","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"MEX","GDL","4O","2210","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"GDL","MEX","4O","2211","GDL","Don Miguel Hidalgo Y Costilla International Airport",20.5218,-103.311,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
